Numero_capitulo,Volumen,Nombre,Titulo_romanji,Titulo_viz,Paginas,Fecha,Episodios,Anio,Saga Argumental
226,24,"Shoujou, the Salvage King of the Seafloor",Kaitei Tansaku-O Shojo,"Shoujou, the Salvage King of the Seafloor",19,2002-04-15,2002 Issue ,2002,Saga de la isla del Cielo
227,25,Noland the Liar,Usotsuki Norando,Noland the Liar,19,2002-04-22,2002 Issue ,2002,Saga de la isla del Cielo
228,25,"Mont Blanc Cricket, the Last Boss of the Saruyama Allied Force",'Saruyama Rengo-gun Rasuto Bosu' Monburan Kuriketto,"Mont Blanc Cricket, the Last Boss of the Monkey Mountain Allied Force",19,2002-04-27,2002 Issue 22-,2002,Saga de la isla del Cielo
229,25,Let's Eat,Meshi o Kuo,Let's Eat,19,2002-05-13,2002 Issue ,2002,Saga de la isla del Cielo
230,25,Pursue the South Bird!!,Sausu Bado o Oe!!,Pursue the South Bird!,19,2002-05-20,2002 Issue ,2002,Saga de la isla del Cielo
231,25,Bellamy the Hyena,Haiena no Berami,Bellamy the Hyena,19,2002-05-27,2002 Issue ,2002,Saga de la isla del Cielo
232,25,The Hundred Million Man,Ichioku no Otoko,The 100 Million Berry Man,19,2002-06-03,2002 Issue ,2002,Saga de la isla del Cielo
233,25,The World's Greatest Power,Sekai Saiko Kenryoku,The World's Greatest Power,19,2002-06-10,2002 Issue ,2002,Saga de la isla del Cielo
234,25,Please Remember,Gokioku Kudasaimasu Yo ni,Please Remember,19,2002-06-17,2002 Issue ,2002,Saga de la isla del Cielo
235,25,Knock Up Stream,Nokku Appu Sutorimu,The Knock Up Stream,19,2002-06-24,2002 Issue ,2002,Saga de la isla del Cielo
236,25,The Ship Sails to the Sky,Fune wa Sora o Yuku,The Ship Sails to the Sky,19,2002-07-01,2002 Issue ,2002,Saga de la isla del Cielo
237,26,High in the Sky,Joku nite,High in the Sky,19,2002-07-08,2002 Issue ,2002,Saga de la isla del Cielo
238,26,Heaven's Gate,Tengoku no Mon,Heaven's Gate,17,2002-07-15,2002 Issue ,2002,Saga de la isla del Cielo
239,26,Angel Beach,Enjeru Bichi,Angel Beach,17,2002-07-22,2002 Issue ,2002,Saga de la isla del Cielo
240,26,Dial Energy,Daiaru Enerugi,Dial Power,17,2002-07-29,2002 Issue ,2002,Saga de la isla del Cielo
241,26,Heaven's Judgment,Ten no Sabaki,Heaven's Judgment,19,2002-08-05,2002 Issue ,2002,Saga de la isla del Cielo
242,26,Class-2 Criminals,Dai Ni-kyu Hanzaisha,Class-2 Criminals,17,2002-08-12,2002 Issue 37-,2002,Saga de la isla del Cielo
243,26,Ordeals,Shiren,Trial,17,2002-08-26,2002 Issue ,2002,Saga de la isla del Cielo
244,26,SOS,Esu-O-Esu,S.O.S.,19,2002-09-02,2002 Issue ,2002,Saga de la isla del Cielo
245,26,Adventure on God's Island,Kami no Shima no Boken,Adventure on Kami's Island,17,2002-09-09,2002 Issue ,2002,Saga de la isla del Cielo
246,26,"Satori, Priest of the Wandering Forest",Mayoi no Mori no Shinkan Satori,"Satori, Vassal of the Forest of No Return",19,2002-09-14,2002 Issue ,2002,Saga de la isla del Cielo
247,27,Ordeal of Balls,Tama no Shiren,Ball Challenge,19,2002-09-22,2002 Issue ,2002,Saga de la isla del Cielo
248,27,Former God vs Priest,Moto Kami-sama Basasu Shinkan,Former Kami vs. Vassal,19,2002-10-07,2002 Issue ,2002,Saga de la isla del Cielo
249,27,The Village Hidden in the Cloud,Kumogakure no Mura,The Village Hidden in the Cloud,19,2002-10-12,2002 Issue ,2002,Saga de la isla del Cielo
250,27,Ball Dragon,Dama Doragon,Ball Dragon,19,2002-10-21,2002 Issue ,2002,Saga de la isla del Cielo
251,27,Overture,Obachua,Overture,19,2002-10-28,2002 Issue ,2002,Saga de la isla del Cielo
252,27,Junction,Jankushon,Junction,19,2002-11-02,2002 Issue ,2002,Saga de la isla del Cielo
253,27,Vearth,Vasu,Varse,19,2002-11-11,2002 Issue ,2002,Saga de la isla del Cielo
254,27,Aubade,Obado,Aubade,19,2002-11-18,2002 Issue ,2002,Saga de la isla del Cielo
255,27,The Anaconda and the Search Team,Uwabami to Tansaku Chimu,The Anaconda and the Search Team,19,2002-11-25,2002 Issue ,2002,Saga de la isla del Cielo
256,28,Wyper the Berserker,"""Senki"" Waipa",Wyper the Berserker,19,2002-12-02,2003 Issue,2002,Saga de la isla del Cielo
257,28,Dial Battle,Daiaru Batoru,Dial Battle,19,2002-12-09,2003 Issue,2002,Saga de la isla del Cielo
258,28,The Many Souths,Ironna Minami,The Many Souths,19,2002-12-16,2003 Issue 3,2002,Saga de la isla del Cielo
259,28,Pirate Zoro vs. Warrior Braham,Kaizoku Zoro Basasu Senshi Burahamu,Pirate Zolo vs. Warrior Braham,19,2002-12-30,2003 Issue,2002,Saga de la isla del Cielo
260,28,Pirate Luffy vs. Berserker Wyper,Kaizoku Rufi Basasu Senki Waipa,Pirate Luffy vs. Berserker Wyper,19,2003-01-06,2003 Issue 6,2003,Saga de la isla del Cielo
261,28,Warrior Genbo vs. Divine Soldiers Commander Yama,Senshi Genbo Basasu Shinpeicho Yama,Warrior Genbo vs. Heavenly Warriors Commander Yama,19,2003-01-20,2003 Issue,2003,Saga de la isla del Cielo
262,28,Pirate Chopper vs. Priest Gedatsu,Kaizoku Choppa Basasu Shinkan Gedatsu,Pirate Chopper vs. Vassal Gedatsu,19,2003-01-27,2003 Issue,2003,Saga de la isla del Cielo
263,28,Pirate Nami and the Weird Knight vs. Divine Soldiers Lieutenants Hotori and Kotori,Kaizoku Nami to Henna Kishi Basasu Fuku Shinpeicho Hotori to Kotori,Pirate Nami and the Weird Knight vs. Heavenly Warriors Subcommanders Hotori and Kotori,19,2003-02-03,2003 Issue ,2003,Saga de la isla del Cielo
264,28,Warrior Kamakiri vs. God Enel,Senshi Kamakiri Basasu Goddo Eneru,Warrior Kamakiri vs. Kami Eneru,19,2003-02-10,2003 Issue ,2003,Saga de la isla del Cielo
265,29,Pirate Robin vs. Divine Soldiers Commander Yama,Kaizoku Robin Basasu Shinpeicho Yama,Pirate Robin vs. Heavenly Forces Commander Yama,19,2003-02-17,2003 Issue ,2003,Saga de la isla del Cielo
266,29,Pirate Chopper vs. Priest Ohm,Kaizoku Choppa Basasu Shinkan Omu,Pirate Chopper vs. Vassal Ohm,19,2003-02-24,2003 Issue ,2003,Saga de la isla del Cielo
267,29,March,Machi,March,17,2003-03-03,2003 Issue ,2003,Saga de la isla del Cielo
268,29,Suite,Suwito,Suite,19,2003-03-10,2003 Issue ,2003,Saga de la isla del Cielo
269,29,Concerto,Koncheruto,Concerto,19,2003-03-17,2003 Issue ,2003,Saga de la isla del Cielo
270,29,Serenade,Serenade,Serenade,19,2003-03-31,2003 Issue ,2003,Saga de la isla del Cielo
271,29,Pirate Zoro vs. Priest Ohm,Kaizoku Zoro Basasu Shinkan Omu,Pirate Zolo vs. Vassal Ohm,19,2003-04-07,2003 Issue ,2003,Saga de la isla del Cielo
272,29,Play,Purei,Play,19,2003-04-14,2003 Issue ,2003,Saga de la isla del Cielo
273,29,Quintet,Kuintetto,Quintet,19,2003-04-21,2003 Issue ,2003,Saga de la isla del Cielo
274,29,Oratorio,Oratorio,Oratorio,21,2003-04-28,2003 Issue 22-,2003,Saga de la isla del Cielo
275,29,Divina Comedia,Dibina Komeidia,Divina Comedia,19,2003-05-12,2003 Issue ,2003,Saga de la isla del Cielo
276,30,Shandia Rhythm,Shandia Rizumu,Shandian Rhythm,19,2003-05-19,2003 Issue ,2003,Saga de la isla del Cielo
277,30,Maxim,Makushimu,Maxim,17,2003-05-26,2003 Issue ,2003,Saga de la isla del Cielo
278,30,Conis,Konisu,Conis,19,2003-06-02,2003 Issue ,2003,Saga de la isla del Cielo
279,30,Pirate Luffy vs. God Enel,Kaizoku Rufi Basasu Goddo Eneru,Pirate Luffy vs. Kami Eneru,18,2003-06-09,2003 Issue ,2003,Saga de la isla del Cielo
280,30,Floating,Fujo,Floating,19,2003-06-16,2003 Issue ,2003,Saga de la isla del Cielo
281,30,Deathpiea,Desupia,Deathpiea,19,2003-06-23,2003 Issue ,2003,Saga de la isla del Cielo
282,30,Desire,Nozomi,Desire,19,2003-06-30,2003 Issue ,2003,Saga de la isla del Cielo
283,30,On the Front Line of Rescuing Love,Koi no Kyushutsu Zensen,On the Front Line of Rescuing Love,19,2003-07-07,2003 Issue ,2003,Saga de la isla del Cielo
284,30,Sorry,Warina,Sorry,19,2003-07-14,2003 Issue ,2003,Saga de la isla del Cielo
285,30,Capriccio,Kapuritchio,Capriccio,19,2003-07-19,2003 Issue ,2003,Saga de la isla del Cielo
286,31,The Monster of Shandora,Shandora no Mamono,The Shandoran Demon,17,2003-07-28,2003 Issue ,2003,Saga de la isla del Cielo
287,31,God Killing,Kamigoroshi,Kami Killing,19,2003-08-11,2003 Issue 37-,2003,Saga de la isla del Cielo
288,31,Curse,Tatari,Curse,19,2003-08-25,2003 Issue ,2003,Saga de la isla del Cielo
289,31,Full Moon,Bogetsu,Full Moon,21,2003-09-01,2003 Issue ,2003,Saga de la isla del Cielo
290,31,The Light of Shandora,Shandora no Hi,The Light of Shandora,19,2003-09-08,2003 Issue ,2003,Saga de la isla del Cielo
291,31,I'm Right Here,Koko ni Iru,We'll Be Here,19,2003-09-13,2003 Issue ,2003,Saga de la isla del Cielo
292,31,"To Meet, like the Half-Moon Hidden by Clouds",Afukoto wa Katawaredzuki no Kumogakure,"To Meet, like the Half-Moon Hidden by Clouds",19,2003-09-22,2003 Issue ,2003,Saga de la isla del Cielo
293,31,Bolero,Borero,Bolero,19,2003-09-29,2003 Issue ,2003,Saga de la isla del Cielo
294,31,Raigo,Raigo,Kingdom Come,19,2003-10-06,2003 Issue ,2003,Saga de la isla del Cielo
295,31,Giant Jack,Jaianto Jakku,Giant Jack,19,2003-10-11,2003 Issue ,2003,Saga de la isla del Cielo
296,32,High-Altitude Situation,Saiku Kyokumen,High-Altitude Situation,19,2003-10-20,2003 Issue ,2003,Saga de la isla del Cielo
297,32,Praises of the Earth,Daichi Sansho,Praise for the Land,19,2003-10-27,2003 Issue ,2003,Saga de la isla del Cielo
298,32,Love Song,Rabu Songu,Love Song,19,2003-11-01,2003 Issue ,2003,Saga de la isla del Cielo
299,32,Fantasia,Fantajia,Fantasia,19,2003-11-10,2003 Issue ,2003,Saga de la isla del Cielo
300,32,Symphony,Shinfoni,Symphony,19,2003-11-22,2003 Issue ,2003,Saga de la isla del Cielo
301,32,I Was Here,Ware Koko ni Itaru,I Was Here,19,2003-12-01,2004 Issue,2003,Saga de la isla del Cielo
302,32,Finale,Finare,Finale,19,2003-12-08,2004 Issue,2003,Saga de la isla del Cielo
303,32,Rich Pirates,Kanemochi Kaizoku-dan,Rich Pirates,19,2003-12-15,2004 Issue,2003,Saga de Water 7
304,32,Long Island Adventure,Nagai Shima no Boken,Long Island Adventure,21,2003-12-22,2004 Issue 4,2003,Saga de Water 7
305,32,Foxy the Silver Fox,Gin Gitsune no Fokushi,Foxy the Silver Fox,19,2004-01-05,2004 Issue 6,2004,Saga de Water 7
306,33,Donut Race!!,Donatsu Resu!!,Donut Race!,19,2004-01-19,2004 Issue,2004,Saga de Water 7
307,33,"Ready, Donuts!!",Redii Donatsu!!,"Ready, Set, Donut!",19,2004-01-26,2004 Issue,2004,Saga de Water 7
308,33,The Grand Interference Plan,Bodai Daisakusen,Obstructive Tactics,19,2004-02-02,2004 Issue ,2004,Saga de Water 7
309,33,Groggy Monsters,Gurokki Monsutazu,Groggy Monsters,17,2004-02-09,2004 Issue ,2004,Saga de Water 7
310,33,Groggy Ring!!,Gurokki Ringu!!,Groggy Ring!!,19,2004-02-16,2004 Issue ,2004,Saga de Water 7
311,33,Rough Game,Rafu Gemu,Rough Game,19,2004-02-23,2004 Issue ,2004,Saga de Water 7
312,33,GOAL!!,Goru!!,Goal!!,19,2004-03-01,2004 Issue ,2004,Saga de Water 7
313,33,MAIN EVENT,Mein Ibento,Main Event,19,2004-03-08,2004 Issue ,2004,Saga de Water 7
314,33,Combat!!!,Konbatto!!!,Combat!!,19,2004-03-15,2004 Issue ,2004,Saga de Water 7
315,33,Secret Room,Himitsu no Heya,Secret Room,19,2004-03-22,2004 Issue ,2004,Saga de Water 7
316,33,Brother Soul,Buraza Souru,Brother Soul,19,2004-03-29,2004 Issue ,2004,Saga de Water 7
317,34,K.O.,Nokku Auto,K.O.,21,2004-04-12,2004 Issue ,2004,Saga de Water 7
318,34,Closure,Heikai,Closure,19,2004-04-19,2004 Issue ,2004,Saga de Water 7
319,34,Admiral Aokiji of the Marine Headquarters,"Kaigun Honbu ""Taisho"" Aokiji",Admiral Aokiji of the Navy Headquarters,19,2004-04-26,2004 Issue 22-,2004,Saga de Water 7
320,34,Ultimate Military Force,Saiko Senryoku,Ultimate Military Force,19,2004-05-10,2004 Issue ,2004,Saga de Water 7
321,34,One-on-One,Ikkiuchi,One-on-One,19,2004-05-17,2004 Issue ,2004,Saga de Water 7
322,34,Puffing Tom,Paffingu Tomu,Puffing Tom,19,2004-05-24,2004 Issue ,2004,Saga de Water 7
323,34,"The City of Water, Water 7","""Mizu no Miyako"" Wota Sebun","The City of Water, Water Seven",19,2004-05-31,2004 Issue ,2004,Saga de Water 7
324,34,Adventure in the City on the Water,Suijo Toshi no Boken,Adventures in the City of Water,19,2004-06-07,2004 Issue ,2004,Saga de Water 7
325,34,The Franky Family,Furanki Ikka,The Franky Family,19,2004-06-14,2004 Issue ,2004,Saga de Water 7
326,34,Iceburg-san,Aisubagu-san,Mr. Iceberg,17,2004-06-21,2004 Issue ,2004,Saga de Water 7
327,34,"Shipyard Island, Construction Dock No. 1",Zosenjima Zosen Kojo Ichi-ban Dokku,"Shipbuilding Island, Repair Dock No. 1",21,2004-06-28,2004 Issue ,2004,Saga de Water 7
328,35,The Pirate Abduction Incident,Kaizoku Yukai Jiken,The Pirate Abduction Incident,19,2004-07-12,2004 Issue ,2004,Saga de Water 7
329,35,"My Name Is ""Franky""","Ore no Na wa ""Furanki""",My Name Is Franky,19,2004-07-17,2004 Issue ,2004,Saga de Water 7
330,35,It's Decided,Kimeta,It's Decided,17,2004-07-26,2004 Issue ,2004,Saga de Water 7
331,35,The Big Argument,Ogenka,The Big Argument,19,2004-08-02,2004 Issue ,2004,Saga de Water 7
332,35,Luffy vs. Usopp,Rufi Basasu Usoppu,Luffy vs. Usopp,18,2004-08-09,2004 Issue 37-,2004,Saga de Water 7
333,35,Captain,Kyaputen,Captain,18,2004-08-23,2004 Issue ,2004,Saga de Water 7
334,35,Big Trouble in the Secret Room,Misshitsu no Daijiken,Big Trouble in the Secret Room,19,2004-08-30,2004 Issue ,2004,Saga de Water 7
335,35,WARNING,Woningu,Warning,19,2004-09-06,2004 Issue ,2004,Saga de Water 7
336,35,Luffy vs. Franky,Rufi Basasu Furanki,Luffy vs. Franky,19,2004-09-13,2004 Issue ,2004,Saga de Water 7
337,36,Protectors of the City of Water,"""Mizu no Miyako"" no Yojinbo",Protectors of the City of Water,19,2004-09-18,2004 Issue ,2004,Saga de Water 7
338,36,Coup de Vent,Ku do Van,Coup de Vent,19,2004-09-27,2004 Issue ,2004,Saga de Water 7
339,36,Rumors,Uwasa,Rumors,19,2004-10-04,2004 Issue ,2004,Saga de Water 7
340,36,The Woman Who Brings Darkness,Yami o Hiku Onna,The Woman Who Brings Darkness,19,2004-10-09,2004 Issue ,2004,Saga de Water 7
341,36,Devil,Akuma,Demon,19,2004-10-18,2004 Issue ,2004,Saga de Water 7
342,36,The Messengers of Darkness,Yami no Shisha,The Messengers of Darkness,19,2004-10-25,2004 Issue ,2004,Saga de Water 7
343,36,Cipher Pol No.9,Saifa Poru Nanba Nain,Cipher Pol No. 9,19,2004-11-01,2004 Issue ,2004,Saga de Water 7
344,36,Opposing Force,Teiko Seiryoku,Opposing Force,19,2004-11-08,2004 Issue ,2004,Saga de Water 7
345,36,The Concealed,Senpukusha,Sleepers,19,2004-11-15,2004 Issue ,2004,Saga de Water 7
346,36,The 9th Justice,Kyu-banme no Seigi,The Ninth Justice,19,2004-11-29,2004 Issue ,2004,Saga de Water 7
347,37,Rokushiki,Rokushiki,Six Powers,19,2004-12-06,2005 Issue,2004,Saga de Water 7
348,37,Fighting Power,Sentoryoku,Fighting Power,20,2004-12-13,2005 Issue,2004,Saga de Water 7
349,37,One Citizen,Ichi Shimin,Ordinary Citizens,19,2004-12-20,2005 Issue 3,2004,Saga de Water 7
350,37,The Warehouse Under the Bridge,Hashi no Shita Soko,The Warehouse Under the Bridge,19,2005-01-03,2005 Issue 5,2005,Saga de Water 7
351,37,Klabautermann,Kurabautaman,Klabautermann,19,2005-01-17,2005 Issue,2005,Saga de Water 7
352,37,Tom's Workers,Tomuzu Wakazu,Tom's Workers,19,2005-01-24,2005 Issue,2005,Saga de Water 7
353,37,The Legendary Shipwright,Densetsu no Funadaiku,The Legendary Shipwright,19,2005-01-31,2005 Issue,2005,Saga de Water 7
354,37,Sea Train,Umi Ressha,Sea Train,19,2005-02-07,2005 Issue ,2005,Saga de Water 7
355,37,Spandam,Supandamu,Spandam,19,2005-02-14,2005 Issue ,2005,Saga de Water 7
356,37,Tom-san,Tomu-san,Mr. Tom,19,2005-02-28,2005 Issue ,2005,Saga de Water 7
357,37,Cutty Flam,Kati Furamu,Cutty Flam,21,2005-03-07,2005 Issue ,2005,Saga de Water 7
358,38,Revival,Fukkatsu,Reactivation,19,2005-03-14,2005 Issue ,2005,Saga de Water 7
359,38,Bingo,Bingo,Bingo,19,2005-03-19,2005 Issue ,2005,Saga de Water 7
360,38,Departing Soon,Mamonaku Shukko,Departing Soon,19,2005-03-28,2005 Issue ,2005,Saga de Water 7
361,38,P.S.,Tsuishin,P.S.,19,2005-04-04,2005 Issue ,2005,Saga de Water 7
362,38,Ebb Tide,Hiki Shio,Ebb Tide,19,2005-04-11,2005 Issue ,2005,Saga de Water 7
363,38,Aqua Laguna,Akua Raguna,Aqua Laguna,19,2005-04-18,2005 Issue ,2005,Saga de Water 7
364,38,Kokoro,Kokoro,Kokoro,19,2005-04-25,2005 Issue 21-,2005,Saga de Water 7
365,38,Rocketman!!,Rokettoman!!,Rocketman!!,19,2005-05-09,2005 Issue ,2005,Saga de Water 7
366,38,Sortie!!,Shutsugeki!!,Sortie!,19,2005-05-16,2005 Issue ,2005,Saga de Water 7
367,38,Sogeking,Sogekingu,Sniper King,19,2005-05-23,2005 Issue ,2005,Saga de Water 7
368,39,Sea Train Battle Game,Umi Ressha Batoru Gemu,Sea Train Battle Game,19,2005-05-30,2005 Issue ,2005,Saga de Water 7
369,39,Ramen Kenpo,Ramen Kenpo,Ramen Kung Fu,19,2005-06-06,2005 Issue ,2005,Saga de Water 7
370,39,You're Not Alone,Hitori janai,You're Not Alone,19,2005-06-13,2005 Issue ,2005,Saga de Water 7
371,39,The Admirable Captain T Bone,Appare Ti-Bon Taisa,The Honorable Captain T Bone,19,2005-06-20,2005 Issue ,2005,Saga de Water 7
372,39,Parage,Paraju,Plastic Surgery,19,2005-06-27,2005 Issue ,2005,Saga de Water 7
373,39,Necessary Evil,Hitsuyo Aku,Necessary Evil,19,2005-07-04,2005 Issue ,2005,Saga de Water 7
374,39,Scramble,Sodatsusen,Scramble,19,2005-07-16,2005 Issue ,2005,Saga de Water 7
375,39,The Superhumans of Enies Lobby,Eniesu Robi no Chojin-tachi,The Supermen of Enies Lobby,19,2005-07-25,2005 Issue ,2005,Saga de Water 7
376,39,I Got It!!!,Wakatta!!!,I Got It!!,19,2005-08-01,2005 Issue ,2005,Saga de Water 7
377,39,Great Battle on the Judiciary Island!!,Shiho no Shima no Daikessen!!,The Big Showdown on the Judiciary Island,19,2005-08-08,2005 Issue 36-,2005,Saga de Water 7
378,40,Damage Report,Higai Jokyo,Casualties,19,2005-08-22,2005 Issue ,2005,Saga de Water 7
379,40,Doriki,Doriki,Power Level,19,2005-08-29,2005 Issue ,2005,Saga de Water 7
380,40,Enies Lobby Main Island Express,Eniesu Robi Hontoyuki Ekusupuresu,Enies Lobby Main Island Express,19,2005-09-05,2005 Issue ,2005,Saga de Water 7
381,40,Fired,Kubi,Fired,18,2005-09-12,2005 Issue ,2005,Saga de Water 7
382,40,Demon Lair,Oni no Kakure-ga,Demon Lair,19,2005-09-17,2005 Issue ,2005,Saga de Water 7
383,40,Luffy vs Blueno,Rufi Basasu Buruno,Luffy vs. Blueno,19,2005-09-26,2005 Issue ,2005,Saga de Water 7
384,40,Signal the Counterattack,Hangeki no Noroshi o Agero,Signal the Counterattack,19,2005-10-03,2005 Issue ,2005,Saga de Water 7
385,40,There Is a Way,Michi wa Aru,There Is a Way,19,2005-10-08,2005 Issue ,2005,Saga de Water 7
386,40,Unprecedented,Zendai Mimon,Unprecedented,15,2005-10-17,2005 Issue ,2005,Saga de Water 7
387,40,Gear,Gia,Gear,19,2005-10-31,2005 Issue ,2005,Saga de Water 7
388,40,Gear 2,Gia Sekando,Gear Two,19,2005-11-07,2005 Issue ,2005,Saga de Water 7
389,41,Response,Oto,Response,19,2005-11-14,2005 Issue ,2005,Saga de Water 7
390,41,Accepting the Challenge,Osen,Accepting the Challenge,19,2005-11-21,2005 Issue ,2005,Saga de Water 7
391,41,The Girl Called a Devil,Akuma to Yobareta Shojo,The Girl They Called a Demon,19,2005-11-28,2005 Issue ,2005,Saga de Water 7
392,41,Dereshi,Dereshi,Dereshi,19,2005-12-12,2006 Issue,2005,Saga de Water 7
393,41,Olvia,Orubia,Olvia,19,2005-12-19,2006 Issue,2005,Saga de Water 7
394,41,The Demons of Ohara,Ohara no Akuma-tachi,The Demons of Ohara,19,2005-12-26,2006 Issue 4,2005,Saga de Water 7
395,41,Ohara vs. the World Government,Ohara Basasu Sekai Seifu,Ohara vs. the World Government,19,2006-01-07,2006 Issue 6,2006,Saga de Water 7
396,41,Saul,Sauro,Saul,19,2006-01-23,2006 Issue,2006,Saga de Water 7
397,41,In Hopes of Reaching the Future,Mirai-e Todoku youni,In Hopes of Reaching the Future,19,2006-01-30,2006 Issue,2006,Saga de Water 7
398,41,Declaration of War,Sensen Fukoku,Declaration of War,19,2006-02-06,2006 Issue ,2006,Saga de Water 7
399,41,Jump Toward the Waterfall!!,Taki ni Mukatte Tobe!!,Jump Toward the Waterfall!!,19,2006-02-13,2006 Issue ,2006,Saga de Water 7
400,42,The Key to Freedom,Kaiho no Kagi,The Key to Freedom,19,2006-02-20,2006 Issue ,2006,Saga de Water 7
401,42,Pirates vs CP9,Kaizoku Basasu Shi Pi Nain,Pirates vs. CP9,19,2006-02-27,2006 Issue ,2006,Saga de Water 7
402,42,Handcuffs No. 2,Ni-ban no Tejo,Handcuffs No. 2,19,2006-03-06,2006 Issue ,2006,Saga de Water 7
403,42,Mr. Chivalry,Misuta Kishido,Mr. Chivalry,19,2006-03-13,2006 Issue ,2006,Saga de Water 7
404,42,Franky vs Fukurou,Furanki Basasu Fukurô,Franky vs. Fukurou,19,2006-03-20,2006 Issue ,2006,Saga de Water 7
405,42,Power,Pawa,Power,19,2006-03-27,2006 Issue ,2006,Saga de Water 7
406,42,Seimei Kikan,Seimei Kikan,Life Return,19,2006-04-10,2006 Issue ,2006,Saga de Water 7
407,42,Monster,Monsuta,Monster,19,2006-04-17,2006 Issue ,2006,Saga de Water 7
408,42,Monster vs Kumadori,Monsuta Basasu Kumadori,Monster vs. Kumadori,19,2006-04-24,2006 Issue 21-,2006,Saga de Water 7
409,42,Emergency Bad News Broadcast,Kyoho Kinkyu Daihoso,The Terrifying Broadcast,19,2006-05-08,2006 Issue ,2006,Saga de Water 7
410,43,Super-Size Nami,Nami Kyodaika,Super-Size Nami,19,2006-05-15,2006 Issue ,2006,Saga de Water 7
411,43,Nami vs Kalifa,Nami Basasu Karifa,Nami vs. Kalifa,19,2006-05-22,2006 Issue ,2006,Saga de Water 7
412,43,You Missed Your Chance,Chansu wa Owatta,You Missed Your Chance,19,2006-05-29,2006 Issue ,2006,Saga de Water 7
413,43,Hunter,Kariudo,Hunter,19,2006-06-05,2006 Issue ,2006,Saga de Water 7
414,43,Sanji vs Jabra,Sanji Basasu Jabura,Sanji vs. Jabra,19,2006-06-12,2006 Issue ,2006,Saga de Water 7
415,43,Heat Up,Hito Appu,Heat Up,19,2006-06-19,2006 Issue ,2006,Saga de Water 7
416,43,Zoro vs Kaku,Zoro Basasu Kaku,Zolo vs. Kaku,19,2006-06-26,2006 Issue ,2006,Saga de Water 7
417,43,Asura,Ashura,Asura,19,2006-07-03,2006 Issue ,2006,Saga de Water 7
418,43,Luffy vs. Rob Lucci,Rufi Basasu Robu Rucchi,Luffy vs. Rob Lucci,19,2006-07-10,2006 Issue ,2006,Saga de Water 7
419,43,Legend of a Hero,Eiyu Densetsu,Legend of a Hero,19,2006-07-15,2006 Issue ,2006,Saga de Water 7
420,44,Buster Call,Basuta Koru,Buster Call,19,2006-07-24,2006 Issue ,2006,Saga de Water 7
421,44,Gear 3,Gia Sado,Gear Three,19,2006-07-31,2006 Issue ,2006,Saga de Water 7
422,44,Rob Lucci,Robu Rucchi,Rob Lucci,19,2006-08-07,2006 Issue 36-,2006,Saga de Water 7
423,44,Mermaid Legend,Ningyo Densetsu,Mermaid Legend,19,2006-08-21,2006 Issue ,2006,Saga de Water 7
424,44,Escape Ship,Dasshutsu-sen,Escape Ship,19,2006-08-28,2006 Issue ,2006,Saga de Water 7
425,44,Bridge of Mortal Combat,Shito no Hashi,Bridge of Mortal Combat,19,2006-09-04,2006 Issue ,2006,Saga de Water 7
426,44,A Ship Waiting for Wind,Kazamachi no Fune,A Ship Waiting for Wind,19,2006-09-11,2006 Issue ,2006,Saga de Water 7
427,44,It's Not Like it's Hell Here,Koko ga Jigoku ja Arumeshi,This Isn't the Afterlife,19,2006-09-16,2006 Issue ,2006,Saga de Water 7
428,44,Let's Go Back,Kaero,Let's Go Back,19,2006-09-25,2006 Issue ,2006,Saga de Water 7
429,44,Utter Defeat,Kanpai,Utter Defeat,19,2006-10-02,2006 Issue ,2006,Saga de Water 7
430,44,A Light Snow of Reminiscence Falls,Furisosogu Tsuiso no Awayuki,A Light Snow of Reminiscence Falls,19,2006-10-07,2006 Issue ,2006,Saga de Water 7
431,45,Fist of Love,Ai no Kobushi,Fist of Love,19,2006-10-23,2006 Issue ,2006,Saga de Water 7
432,45,Jack-in-the-Box,Bikkuri Bako,Jack-in-the-Box,19,2006-10-30,2006 Issue ,2006,Saga de Water 7
433,45,The Name of That Sea is,Sono Umi no Na wa,The Name of That Sea,19,2006-11-06,2006 Issue ,2006,Saga de Water 7
434,45,Whitebeard and Red Hair,Shirohige to Akagami,Whitebeard and Red-Hair,19,2006-11-13,2006 Issue ,2006,Saga de Water 7
435,45,You Have My Sympathies,Shinchu Osasshisuru,You Have My Sympathies,19,2006-11-20,2006 Issue ,2006,Saga de Water 7
436,45,Pants from Franky House,Pantsu Furomu Furankihausu,Trunks from Franky-House,19,2006-12-04,2007 Issue,2006,Saga de Water 7
437,45,Naked But Great,Hadaka Hyakkan,Naked Mania,19,2006-12-11,2007 Issue,2006,Saga de Water 7
438,45,Pride,Puraido,Pride,19,2006-12-18,2007 Issue,2006,Saga de Water 7
439,45,The Third and the Seventh,Sanninme to Nananinme,Third and Seventh,19,2006-12-25,2007 Issue 4,2006,Saga de Water 7
440,45,Fire Fist vs Blackbeard,Hiken Basasu Kurohige,Fire Fist vs. Blackbeard,19,2007-01-06,2007 Issue 6,2007,Saga de Water 7
441,46,Duel on Banaro Island,Banaro-to no Ketto,Duel on Banaro Island,19,2007-01-22,2007 Issue,2007,Saga de Water 7
442,46,Adventure in the Demonic Sea,Ma no Umi no Boken,Adventure in the Demonic Sea,19,2007-01-29,2007 Issue,2007,Saga de Thriller Bark
